[media-api-0.0.0.0-9101] 2021-05-07 11:56:49.927 | WARN 15064 [main] [] org.mybatis.spring.mapper.ClassPathMapperScanner No MyBatis mapper was found in '[com.asl.mp]' package. Please check your configuration.
[media-api-0.0.0.0-9101] 2021-05-07 11:56:50.400 | INFO 15064 [main] [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 9101 (http)
[media-api-0.0.0.0-9101] 2021-05-07 11:56:50.409 | INFO 15064 [main] [] org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-9101"]
[media-api-0.0.0.0-9101] 2021-05-07 11:56:50.410 | INFO 15064 [main] [] org.apache.catalina.core.StandardService Starting service [Tomcat]
[media-api-0.0.0.0-9101] 2021-05-07 11:56:50.410 | INFO 15064 [main] [] org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.43]
[media-api-0.0.0.0-9101] 2021-05-07 11:56:50.507 | INFO 15064 [main] [] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
[media-api-0.0.0.0-9101] 2021-05-07 11:56:50.507 | INFO 15064 [main] [] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 2035 ms
[media-api-0.0.0.0-9101] 2021-05-07 11:56:50.753 | WARN 15064 [main] [] org.springframework.boot.actuate.endpoint.EndpointId Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
[media-api-0.0.0.0-9101] 2021-05-07 11:56:51.486 | INFO 15064 [main] [] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
[media-api-0.0.0.0-9101] 2021-05-07 11:56:51.917 | INFO 15064 [main] [] com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure Init DruidDataSource
[media-api-0.0.0.0-9101] 2021-05-07 11:56:52.132 | INFO 15064 [main] [] com.alibaba.druid.pool.DruidDataSource {dataSource-1} inited
[media-api-0.0.0.0-9101] 2021-05-07 11:56:53.376 | INFO 15064 [main] [] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver Exposing 2 endpoint(s) beneath base path '/actuator'
[media-api-0.0.0.0-9101] 2021-05-07 11:56:53.472 | INFO 15064 [main] [] org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-9101"]
[media-api-0.0.0.0-9101] 2021-05-07 11:56:53.501 | INFO 15064 [main] [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 9101 (http) with context path ''
